location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
Antigua and Barbuda,9106,146,62384,66.5273215885339,93772
Armenia,452273,8777,1030758,37.07133177388587,2780472
Australia,11861161,25236,21647523,82.69543472788179,26177410
Austria,6082444,22534,6683263,74.76005963119002,8939617
Azerbaijan,835757,10353,4862494,46.94397937532426,10358078
Bahrain,696614,1536,1226796,83.32870319113024,1472237
Belize,71414,688,221402,54.628718062597926,405285
Bermuda,18860,165,47657,74.2239942685377,64207
Bosnia and Herzegovina,403666,16392,846080,26.165831150476414,3233530
Botswana,330696,2801,1663490,63.243356271147775,2630300
Brazil,37511921,702116,176164186,81.81752780355104,215313504
Brunei,347723,179,446714,99.49042543240341,449002
Bulgaria,1329988,38700,2078006,30.64022099822249,6781955
Burkina Faso,22139,400,5232347,23.076658114638576,22673764
Cameroon,125246,1974,3197286,11.453836498553335,27914542
Canada,4819055,55282,31758251,82.58693533794167,38454328
Colombia,6391876,142727,37204128,71.72014480926757,51874028
Cook Islands,7345,2,14728,86.4725223109441,17032
Costa Rica,1234701,9372,4369784,84.34515201793687,5180836
Democratic Republic of Congo,101009,1474,14399520,14.543468928499257,99010216
Dominican Republic,661103,4384,6130377,54.59501937024377,11228821
Egypt,516023,24830,42337175,38.145002595546906,110990096
El Salvador,201920,4230,4344286,68.56086735781697,6336393
England,,,42951064,75.95236781609196,56550000
Eswatini,75356,1427,427335,35.56146395046934,1201680
Ethiopia,501193,7574,43653006,35.380962452822956,123379928
Falkland Islands,1923,0,1775,46.698237305972114,3801
Faroe Islands,34658,28,40895,76.99041738049965,53117
French Guiana,98041,413,,,304568
Gambia,12627,372,539186,19.92560961864305,2705995
Greenland,11971,21,38511,68.16830105851949,56494
Grenada,19693,238,39034,31.112953235718443,125459
Guam,52287,419,,,171783
Guatemala,1250371,20203,7126305,39.936893889984006,17843914
Guinea,38572,468,5853990,42.238564019132504,13859349
Guinea-Bissau,9614,177,547637,26.008843169103052,2105580
Haiti,34456,860,366339,3.1621830395727994,11585003
Honduras,472896,11114,5853689,56.10820160688471,10432858
Hungary,2230800,49053,6207249,62.276107962594494,9967304
Jamaica,157181,3611,760132,26.88465867010542,2827382
Japan,33803572,74694,103380343,83.40373414495272,123951696
Kazakhstan,1504370,19072,10629063,54.79463911688206,19397998
Kenya,344106,5689,11090440,20.527404163406906,54027484
Kyrgyzstan,88953,1024,1406016,21.204891668517924,6630621
Latvia,977765,7475,1305976,70.5683504317933,1850654
Lebanon,1239904,10947,2414223,43.976968689250356,5489744
Liberia,8090,294,3730967,70.3598928091214,5302690
Libya,507269,6437,1236102,18.14503201834787,6812344
Luxembourg,393542,1000,462702,71.44862345796254,647601
Mali,33166,743,3633589,16.082383160043833,22593598
Mauritius,328167,1073,1088142,83.73685433689528,1299478
Mayotte,42027,187,,,326113
Micronesia (country),31765,65,,,114178
Moldova,637520,12245,1078961,32.96557615613599,3272993
Mongolia,1011489,2136,2175617,64.01937044579861,3398373
Mozambique,233843,2252,21329745,64.69534588310658,32969520
Namibia,172533,4108,550978,21.46368713342766,2567024
Nepal,1003450,12031,24471043,80.10794371771308,30547586
Netherlands,8640008,22986,11768644,67.00427350913971,17564020
New Zealand,2639048,4284,4291717,82.76717074014583,5185289
Niue,1074,0,1635,83.76024590163934,1952
North Macedonia,350924,9978,838181,40.03527884425245,2093606
Northern Ireland,,,1361003,71.78285864978903,1896000
Pakistan,1580631,30656,140475871,59.56787957693893,235824864
Papua New Guinea,46864,670,321192,3.1667541686693537,10142625
Poland,6670799,120726,22649355,56.8263370802484,39857144
Portugal,5664109,28809,8909769,86.74805812212165,10270857
Romania,3541619,68825,8114769,41.277061660987414,19659270
Saint Lucia,30282,410,54971,30.56117683686177,179872
Saint Martin (French part),12324,46,,,31816
Samoa,17057,31,177954,80.01888574126535,222390
Saudi Arabia,841469,9646,25433941,69.8565298346357,36408824
Scotland,,,4285946,78.41101353823638,5466000
Serbia,2583470,18057,3278198,47.706840977730344,6871547
Seychelles,51886,172,83565,77.99971997946517,107135
Slovenia,1356582,10083,1222225,57.6563924781222,2119843
Solomon Islands,25954,199,254352,35.11829809795215,724272
South Africa,4072765,102595,21038797,35.12678690198151,59893884
South Sudan,18823,147,4273253,39.15683726051418,10913172
Switzerland,4457868,14170,,,8740471
Syria,57423,3163,2358365,10.659160247829154,22125242
Tanzania,43230,846,32165791,49.10976333966393,65497752
Trinidad and Tobago,191496,4390,716898,46.82415843317268,1531043
Tunisia,1153361,29423,6401841,51.81111119384118,12356116
Uganda,172154,3632,13061126,27.642835742821713,47249588
United Arab Emirates,1067030,2349,9792266,100.0,9441138
United Kingdom,24974629,232112,50762968,75.19444240685411,67508936
Uzbekistan,175081,1016,18451781,53.2862670892346,34627648
Vanuatu,12019,14,162250,49.65661190412066,326744
Vietnam,11624000,43206,85961564,87.54895258078128,98186856
Wallis and Futuna,3760,9,6803,58.66678164884442,11596
Zambia,349842,4077,9213802,46.028343958113005,20017670
