location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
Afghanistan,235214,7998,18370386,44.66553487179243,41128772
Albania,335047,3605,1279333,45.010199421739586,2842318
Algeria,272139,6881,6481186,14.433675013297483,44903228
Angola,107481,1937,9609080,27.000143527510584,35588996
Anguilla,3904,12,10380,65.37759022485356,15877
Argentina,10101218,130663,34900613,76.68724353621388,45510324
Bahamas,39127,849,166972,40.725970696774795,409989
Belgium,4872829,34339,9170945,78.68055579982813,11655923
Benin,28036,163,2742837,20.541188766694546,13352864
Bonaire Sint Eustatius and Saba,11922,41,16736,61.86603578293657,27052
British Virgin Islands,7557,64,18261,58.282267330524704,31332
Cambodia,139319,3056,14693274,87.62765127147182,16767851
Chad,7702,194,5020360,28.326308310771715,17723312
China,99373219,122304,1276760000,89.54143474558887,1425887360
Comoros,9109,160,397080,47.45316288691333,836783
Curacao,45883,305,100885,52.77157339164004,191173
Djibouti,15690,189,401208,35.79494509082831,1120851
Dominica,16047,74,30659,42.13832155914126,72758
East Timor,23460,138,801759,59.774859874539445,1341298
Ecuador,1077445,36050,14240587,79.10996843397939,18001002
Equatorial Guinea,17130,183,214032,12.778670691545127,1674916
Eritrea,10189,103,,,3684041
Fiji,69047,885,641194,68.9627208478665,929769
Finland,1499712,11466,4347113,78.45719303090108,5540745
France,38997490,168091,53192478,78.43994219397462,67813000
Germany,38437756,174979,63563414,76.24269639956128,83369840
Ghana,172062,1462,10780003,32.20230870773486,33475870
Greece,5673681,39258,7647076,73.63598091549981,10384972
Guernsey,35326,67,52710,83.23201061125235,63329
Guyana,74443,1302,381984,47.23274974126003,808727
India,45041748,533623,951990552,67.17531814320611,1417173120
Iraq,2465545,25375,7944775,17.85498215529964,44496124
Jersey,66391,161,81882,73.90339001407993,110796
Jordan,1746997,14122,4558313,40.3895400223731,11285875
Kiribati,5085,24,81474,62.08157760387696,131237
Kosovo,274279,3212,825082,46.297910067532115,1782115
Lesotho,36138,709,938088,40.68338200714191,2305826
Macao,,,642266,92.38844615782963,695180
Madagascar,68567,1428,2628849,8.877732119426506,29611718
Malawi,89168,2686,4288014,21.014198357506604,20405318
Malaysia,5309410,37351,27551144,81.18029539325225,33938216
Maldives,186694,316,385167,73.53349955517203,523798
Montserrat,1403,8,1952,44.23294810786313,4413
Myanmar,642885,19494,35937796,66.33121513244761,54179312
New Caledonia,80163,314,184816,63.73866650112602,289959
Nicaragua,16185,245,6126708,88.17443452768589,6948395
Northern Mariana Islands,14912,41,,,49574
Palau,6372,10,,,18084
Paraguay,735759,19880,3546685,52.30524079581226,6780745
Peru,4526977,220975,28709644,84.31715532064588,34049588
Philippines,4173631,66864,78443972,67.88217842783835,115559008
Qatar,514524,690,2852178,100.0,2695131
Reunion,494595,921,,,974062
Russia,24268728,403188,79702396,55.076063769447835,144713312
Rwanda,133264,1468,10399665,75.48733361583926,13776702
Saint Helena,2166,0,3531,65.37678207739307,5401
San Marino,25292,126,23633,70.14841199168893,33690
Senegal,89485,1971,1546628,8.931552491237813,17316452
Sierra Leone,7979,126,4961886,57.6579794632014,8605723
Singapore,3006155,2024,5120969,90.8452902968979,5637022
Sint Maarten (Dutch part),11051,92,26773,60.58336350470673,44192
Slovakia,1878002,21227,2577827,45.67817055332239,5643455
Sri Lanka,672798,16907,14752827,67.57386240017588,21832150
Sudan,63993,5046,13416394,28.62212901766857,46874200
Sweden,2755181,27399,7593676,71.98241332237657,10549349
Taiwan,,,20793089,87.0244187975623,23893396
Togo,39530,290,1554066,17.56264762055443,8848700
Tokelau,80,0,2203,100.0,1893
Tonga,16976,12,77360,72.389044326125,106867
Turkey,17004718,101419,53176961,62.310971829237836,85341248
Turks and Caicos Islands,6805,40,30710,67.16091501552727,45726
United States,103436829,1193165,230637348,68.17743538842619,338289856
United States Virgin Islands,25389,132,,,99479
Vatican,26,0,,,808
Wales,,,2477109,78.14223974763406,3170000
Western Sahara,,,,,576005
Yemen,11945,2159,807057,2.395068679308175,33696612
