location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
Djibouti,15690.0,189.0,401208.0,35.79494509082831,1120851
Dominica,16047.0,74.0,30659.0,42.13832155914126,72758
Dominican Republic,661103.0,4384.0,6130377.0,54.59501937024377,11228821
East Timor,23460.0,138.0,801759.0,59.774859874539445,1341298
Ecuador,1077445.0,36050.0,14240587.0,79.10996843397939,18001002
Egypt,516023.0,24830.0,42337175.0,38.145002595546906,110990096
El Salvador,201920.0,4230.0,4344286.0,68.56086735781697,6336393
England,,,42951064.0,75.95236781609196,56550000
Equatorial Guinea,17130.0,183.0,214032.0,12.778670691545129,1674916
Eritrea,10189.0,103.0,,,3684041
Estonia,610471.0,2998.0,862748.0,65.06081154454084,1326064
Eswatini,75356.0,1427.0,427335.0,35.56146395046934,1201680
Ethiopia,501193.0,7574.0,43653006.0,35.38096245282296,123379928
Falkland Islands,1923.0,0.0,1775.0,46.698237305972114,3801
Faroe Islands,34658.0,28.0,40895.0,76.99041738049965,53117
Fiji,69047.0,885.0,641194.0,68.9627208478665,929769
Finland,1499712.0,11466.0,4347113.0,78.45719303090108,5540745
France,38997490.0,168091.0,53192478.0,78.43994219397462,67813000
French Guiana,98041.0,413.0,,,304568
French Polynesia,79387.0,650.0,186803.0,60.988533817403,306292
Gabon,49051.0,307.0,257471.0,10.77736807538896,2388997
Gambia,12627.0,372.0,539186.0,19.92560961864305,2705995
Georgia,1863615.0,17150.0,1276173.0,34.082312582707175,3744385
Germany,38437756.0,174979.0,63563414.0,76.24269639956128,83369840
Ghana,172062.0,1462.0,10780003.0,32.20230870773486,33475870
Gibraltar,20550.0,113.0,41465.0,100.0,32677
Greece,5673681.0,39258.0,7647076.0,73.63598091549981,10384972
Greenland,11971.0,21.0,38511.0,68.16830105851949,56494
Grenada,19693.0,238.0,39034.0,31.112953235718443,125459
Guadeloupe,203235.0,1021.0,,,395762
Guam,52287.0,419.0,,,171783
Guatemala,1250371.0,20203.0,7126305.0,39.936893889984006,17843914
Guernsey,35326.0,67.0,52710.0,83.23201061125235,63329
Guinea,38572.0,468.0,5853990.0,42.2385640191325,13859349
Guinea-Bissau,9614.0,177.0,547637.0,26.00884316910305,2105580
Guyana,74443.0,1302.0,381984.0,47.23274974126003,808727
Haiti,34456.0,860.0,366339.0,3.1621830395727994,11585003
Honduras,472896.0,11114.0,5853689.0,56.10820160688471,10432858
Hong Kong,,,6803327.0,90.84592681158676,7488863
Hungary,2230800.0,49053.0,6207249.0,62.276107962594494,9967304
Iceland,210374.0,186.0,290193.0,77.81996926814749,372903
India,45041748.0,533623.0,951990552.0,67.17531814320611,1417173120
Indonesia,6829399.0,162059.0,174965137.0,63.50790687975736,275501344
Iran,7627863.0,146837.0,58585264.0,66.16023513254031,88550568
Iraq,2465545.0,25375.0,7944775.0,17.85498215529964,44496124
Ireland,1745088.0,9744.0,4065584.0,80.93761870140956,5023108
Isle of Man,38008.0,116.0,67106.0,79.38344334823859,84534
Israel,4841558.0,12707.0,6159825.0,65.19023177055773,9449000
Italy,26781078.0,197307.0,47947097.0,81.21468514098977,59037472
Jamaica,157181.0,3611.0,760132.0,26.88465867010542,2827382
Japan,33803572.0,74694.0,103380343.0,83.40373414495272,123951696
Jersey,66391.0,161.0,81882.0,73.90339001407993,110796
Jordan,1746997.0,14122.0,4558313.0,40.3895400223731,11285875
Kazakhstan,1504370.0,19072.0,10629063.0,54.79463911688206,19397998
Kenya,344106.0,5689.0,11090440.0,20.527404163406903,54027484
Kiribati,5085.0,24.0,81474.0,62.08157760387696,131237
Kosovo,274279.0,3212.0,825082.0,46.29791006753212,1782115
Kuwait,667290.0,2570.0,3346176.0,78.38522743404252,4268886
Kyrgyzstan,88953.0,1024.0,1406016.0,21.204891668517924,6630621
Laos,219060.0,671.0,5222417.0,69.35962484512537,7529477
Latvia,977765.0,7475.0,1305976.0,70.5683504317933,1850654
Lebanon,1239904.0,10947.0,2414223.0,43.97696868925036,5489744
Lesotho,36138.0,709.0,938088.0,40.68338200714191,2305826
Liberia,8090.0,294.0,3730967.0,70.3598928091214,5302690
Libya,507269.0,6437.0,1236102.0,18.14503201834787,6812344
Liechtenstein,21588.0,89.0,,,39355
Lithuania,1369355.0,9810.0,1881106.0,68.40241187640406,2750058
Luxembourg,393542.0,1000.0,462702.0,71.44862345796254,647601
Macao,,,642266.0,92.38844615782963,695180
Madagascar,68567.0,1428.0,2628849.0,8.877732119426506,29611718
Malawi,89168.0,2686.0,4288014.0,21.014198357506604,20405318
Malaysia,5309410.0,37351.0,27551144.0,81.18029539325225,33938216
Maldives,186694.0,316.0,385167.0,73.53349955517203,523798
Mali,33166.0,743.0,3633589.0,16.082383160043833,22593598
Malta,122796.0,922.0,471565.0,88.42512465005166,533293
Marshall Islands,16297.0,17.0,,,41593
Martinique,230354.0,1104.0,,,367512
Mauritania,63872.0,997.0,1540597.0,32.52849468745262,4736146
Mauritius,328167.0,1073.0,1088142.0,83.73685433689528,1299478
Mayotte,42027.0,187.0,,,326113
Mexico,7619458.0,334551.0,81849962.0,64.19397428098794,127504120
Micronesia (country),31765.0,65.0,,,114178
Moldova,637520.0,12245.0,1078961.0,32.96557615613599,3272993
Monaco,17181.0,67.0,25667.0,70.33789153489901,36491
Mongolia,1011489.0,2136.0,2175617.0,64.01937044579861,3398373
Montenegro,251280.0,2654.0,284869.0,45.42771120842251,627082
Montserrat,1403.0,8.0,1952.0,44.23294810786313,4413
Morocco,1279115.0,16305.0,23521989.0,62.79567534561932,37457976
Mozambique,233843.0,2252.0,21329745.0,64.69534588310658,32969520
Myanmar,642885.0,19494.0,35937796.0,66.33121513244761,54179312
Namibia,172533.0,4108.0,550978.0,21.46368713342766,2567024
Nauru,5393.0,1.0,11346.0,89.40193838153021,12691
Nepal,1003450.0,12031.0,24471043.0,80.10794371771308,30547586
Netherlands,8640008.0,22986.0,11768644.0,67.00427350913971,17564020
New Caledonia,80163.0,314.0,184816.0,63.73866650112602,289959
New Zealand,2639048.0,4284.0,4291717.0,82.76717074014583,5185289
Nicaragua,16185.0,245.0,6126708.0,88.17443452768589,6948395
Niger,9518.0,315.0,5483001.0,20.92111098061652,26207982
Nigeria,267188.0,3155.0,81297808.0,37.20021764681679,218541216
Niue,1074.0,0.0,1635.0,83.76024590163934,1952
North Korea,0.0,0.0,,,26069416
North Macedonia,350924.0,9978.0,838181.0,40.03527884425245,2093606
Northern Cyprus,,,313067.0,81.77574731738918,382836
Northern Ireland,,,1361003.0,71.78285864978903,1896000
Northern Mariana Islands,14912.0,41.0,,,49574
Norway,1512647.0,5732.0,4054726.0,74.6132545648732,5434324
Oman,399449.0,4628.0,3048826.0,66.62207460175252,4576300
Pakistan,1580631.0,30656.0,140475871.0,59.56787957693893,235824864
Palau,6372.0,10.0,,,18084
Palestine,703228.0,5708.0,1776973.0,33.84661479186206,5250076
Panama,1044821.0,8748.0,3174155.0,71.99945469994661,4408582
Papua New Guinea,46864.0,670.0,321192.0,3.1667541686693537,10142625
Paraguay,735759.0,19880.0,3546685.0,52.30524079581226,6780745
Peru,4526977.0,220975.0,28709644.0,84.31715532064588,34049588
Philippines,4173631.0,66864.0,78443972.0,67.88217842783835,115559008
Pitcairn,4.0,0.0,47.0,100.0,47
Poland,6670799.0,120726.0,22649355.0,56.8263370802484,39857144
Portugal,5664109.0,28809.0,8909769.0,86.74805812212165,10270857
Puerto Rico,1252713.0,5938.0,,,3252412
Qatar,514524.0,690.0,2852178.0,100.0,2695131
Reunion,494595.0,921.0,,,974062
Romania,3541619.0,68825.0,8114769.0,41.27706166098741,19659270
Russia,24268728.0,403188.0,79702396.0,55.07606376944784,144713312
Rwanda,133264.0,1468.0,10399665.0,75.48733361583926,13776702
Saint Barthelemy,5507.0,5.0,,,10994
Saint Helena,2166.0,0.0,3531.0,65.37678207739307,5401
Saint Kitts and Nevis,6607.0,46.0,27000.0,56.62632914578134,47681
Saint Lucia,30282.0,410.0,54971.0,30.56117683686177,179872
Saint Martin (French part),12324.0,46.0,,,31816
Saint Pierre and Miquelon,3426.0,2.0,,,5885
Saint Vincent and the Grenadines,9674.0,124.0,31632.0,30.427380024817477,103959
Samoa,17057.0,31.0,177954.0,80.01888574126535,222390
San Marino,25292.0,126.0,23633.0,70.14841199168893,33690
Sao Tome and Principe,6771.0,80.0,111986.0,49.24777807584226,227393
Saudi Arabia,841469.0,9646.0,25433941.0,69.8565298346357,36408824
Scotland,,,4285946.0,78.41101353823638,5466000
Senegal,89485.0,1971.0,1546628.0,8.931552491237813,17316452
Serbia,2583470.0,18057.0,3278198.0,47.70684097773034,6871547
Seychelles,51886.0,172.0,83565.0,77.99971997946517,107135
Sierra Leone,7979.0,126.0,4961886.0,57.6579794632014,8605723
Singapore,3006155.0,2024.0,5120969.0,90.8452902968979,5637022
Sint Maarten (Dutch part),11051.0,92.0,26773.0,60.58336350470673,44192
Slovakia,1878002.0,21227.0,2577827.0,45.67817055332239,5643455
Slovenia,1356582.0,10083.0,1222225.0,57.6563924781222,2119843
Solomon Islands,25954.0,199.0,254352.0,35.11829809795215,724272
Somalia,27334.0,1361.0,7666835.0,43.567731294681046,17597508
South Africa,4072765.0,102595.0,21038797.0,35.12678690198151,59893884
South Korea,34571873.0,35934.0,44372679.0,85.63540879262173,51815808
South Sudan,18823.0,147.0,4273253.0,39.15683726051418,10913172
Spain,13980340.0,121852.0,40739123.0,85.66083860444094,47558632
Sri Lanka,672798.0,16907.0,14752827.0,67.57386240017588,21832150
Sudan,63993.0,5046.0,13416394.0,28.62212901766857,46874200
Suriname,82501.0,1406.0,237879.0,38.48888270452361,618046
Sweden,2755181.0,27399.0,7593676.0,71.98241332237657,10549349
Switzerland,4457868.0,14170.0,,,8740471
Syria,57423.0,3163.0,2358365.0,10.659160247829154,22125242
Taiwan,,,20793089.0,87.0244187975623,23893396
Tajikistan,17786.0,125.0,5191919.0,52.16546839282938,9952789
Tanzania,43230.0,846.0,32165791.0,49.10976333966393,65497752
Thailand,4799180.0,34715.0,53486086.0,74.60014797824802,71697024
Togo,39530.0,290.0,1554066.0,17.56264762055443,8848700
Tokelau,80.0,0.0,2203.0,100.0,1893
Tonga,16976.0,12.0,77360.0,72.389044326125,106867
Trinidad and Tobago,191496.0,4390.0,716898.0,46.82415843317268,1531043
Tunisia,1153361.0,29423.0,6401841.0,51.81111119384118,12356116
Turkey,17004718.0,101419.0,53176961.0,62.31097182923784,85341248
Turkmenistan,0.0,0.0,4568901.0,71.0474177537178,6430777
Turks and Caicos Islands,6805.0,40.0,30710.0,67.16091501552727,45726
Tuvalu,2943.0,1.0,9505.0,83.85531539479489,11335
Uganda,172154.0,3632.0,13061126.0,27.642835742821717,47249588
Ukraine,5532777.0,109920.0,15741036.0,39.64822301005215,39701744
United Arab Emirates,1067030.0,2349.0,9792266.0,100.0,9441138
United Kingdom,24974629.0,232112.0,50762968.0,75.19444240685411,67508936
United States,103436829.0,1193165.0,230637348.0,68.17743538842619,338289856
United States Virgin Islands,25389.0,132.0,,,99479
Uruguay,1041346.0,7682.0,2903089.0,84.81630222776934,3422796
Uzbekistan,175081.0,1016.0,18451781.0,53.2862670892346,34627648
Vanuatu,12019.0,14.0,162250.0,49.65661190412066,326744
Vatican,26.0,0.0,,,808
Venezuela,552695.0,5856.0,14966671.0,52.88258655840462,28301700
Vietnam,11624000.0,43206.0,85961564.0,87.54895258078128,98186856
Wales,,,2477109.0,78.14223974763406,3170000
Wallis and Futuna,3760.0,9.0,6803.0,58.66678164884442,11596
Western Sahara,,,,,576005
Yemen,11945.0,2159.0,807057.0,2.395068679308175,33696612
Zambia,349842.0,4077.0,9213802.0,46.028343958113005,20017670
Zimbabwe,266386.0,5740.0,4751270.0,29.112212531706216,16320539
